날짜,종가,대비
2021.8.23,1785.12,-2.13
2021.8.20,1787.25,7.12
2021.8.19,1780.12,-13.12
2021.8.18,1793.25,1.31
2021.8.17,1791.93,33.68
2021.8.13,1758.26,4.25
2021.8.12,1754.01,23.07
2021.8.11,1730.93,-5.07
2021.8.10,1736,-11.33
2021.8.9,1747.33,-53.23
2021.8.6,1800.56,-9.4
2021.8.5,1809.96,-3.71
2021.8.4,1813.67,4.7
2021.8.3,1808.97,0.53
2021.8.2,1808.44,-19.75
2021.7.30,1828.18,10.97
2021.7.29,1817.21,12.27
2021.7.28,1804.94,10.45
2021.7.27,1794.5,-12.18
2021.7.26,1806.67,-1.02
2021.7.23,1807.7,6.06
2021.7.22,1801.64,-11.12
2021.7.21,1812.76,-4.34
2021.7.20,1817.1,12.1
2021.7.19,1804.99,-19.95
2021.7.16,1824.95,-7.09
2021.7.15,1832.05,18.7
2021.7.14,1813.35,1.49
2021.7.13,1811.86,12.2
2021.7.12,1799.66,2.04
2021.7.9,1797.63,0.78
2021.7.8,1796.86,-7.38
2021.7.7,1804.23,-1.88
2021.7.6,1806.11,16.45
2021.7.5,1789.66,11.71
2021.7.2,1777.95,0.14
2021.7.1,1777.81,19.64
2021.6.30,1758.16,-16.75
2021.6.29,1774.9,-8.45
2021.6.28,1783.35,3.6
2021.6.25,1779.76,2.98
2021.6.24,1776.78,-5.32
2021.6.23,1782.09,-1.46
2021.6.22,1783.55,5.62
2021.6.21,1777.92,-6.92
2021.6.18,1784.85,-26.67
2021.6.17,1811.52,-49.7
2021.6.16,1861.21,-6.88
2021.6.15,1868.1,7.25
2021.6.14,1860.85,-40.72
2021.6.11,1901.56,16.06
2021.6.10,1885.5,-6.21
2021.6.9,1891.71,-5.32
2021.6.8,1897.03,13.24
2021.6.7,1883.79,11.19
2021.6.4,1872.6,-23.92
2021.6.3,1896.52,0.4
2021.6.2,1896.12,-19.95
2021.6.1,1916.08,12.44
2021.5.31,1903.63,14.68
2021.5.28,1888.95,-10.16
2021.5.27,1899.12,-6.43
2021.5.26,1905.55,20.28
2021.5.25,1885.27,2.23
2021.5.24,1883.04,9.72
2021.5.21,1873.32,-1.46
2021.5.20,1874.78,6.03
2021.5.18,1868.75,15.04
2021.5.17,1853.71,20.1
2021.5.14,1833.61,13.28
2021.5.13,1820.33,-12.12
2021.5.12,1832.45,-3.42
2021.5.11,1835.87,0.8
2021.5.10,1835.08,16.13
2021.5.7,1818.94,24.22
2021.5.6,1794.72,8.44
2021.5.4,1786.29,7.41
2021.5.3,1778.88,6.36
2021.4.30,1772.52,-7
2021.4.29,1779.52,10.94
2021.4.28,1768.58,-12.21
2021.4.27,1780.79,5.2
2021.4.26,1775.59,-8.32
2021.4.23,1783.91,-6.86
2021.4.22,1790.77,4.11
2021.4.21,1786.66,18.75
2021.4.20,1767.9,-11.46
2021.4.19,1779.36,16.31
2021.4.16,1763.05,17.84
2021.4.15,1745.21,-2.01
2021.4.14,1747.22,21.88
2021.4.13,1725.35,-15.19
2021.4.12,1740.53,-7.51
2021.4.9,1748.05,5.35
2021.4.8,1742.69,0.79
2021.4.7,1741.91,8.03
2021.4.6,1733.88,7.92
2021.4.5,1725.96,-4.62
