date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
27.Oct.97,"1,532.75",-118.17,-7.16,"1,650.92","1,650.92","1,531.56","906,360,000"
28.Oct.97,"1,603.02",70.27,4.58,"1,484.72","1,603.22","1,465.84","1,395,000,000"
29.Oct.97,"1,602.75",-0.27,-0.02,"1,614.59","1,626.24","1,596.94","900,600,000"
30.Oct.97,"1,570.41",-32.34,-2.02,"1,572.89","1,596.22","1,564.65","754,110,000"
31.Oct.97,"1,593.61",23.20,1.48,"1,594.12","1,599.71","1,570.41","710,010,000"
3.Nov.97,"1,629.98",36.37,2.28,"1,609.62","1,630.16","1,609.62","642,760,000"
4.Nov.97,"1,631.15",1.17,0.07,"1,627.24","1,634.49","1,622.21","631,090,000"
5.Nov.97,"1,637.33",6.18,0.38,"1,639.94","1,644.42","1,634.12","695,500,000"
6.Nov.97,"1,623.44",-13.89,-0.85,"1,638.14","1,638.14","1,622.36","629,490,000"
7.Nov.97,"1,602.40",-21.04,-1.30,"1,597.27","1,623.43","1,587.31","673,200,000"
10.Nov.97,"1,590.72",-11.68,-0.73,"1,609.77","1,616.82","1,589.76","589,740,000"
11.Nov.97,"1,584.86",-5.86,-0.37,"1,594.45","1,596.18","1,580.52","567,560,000"
12.Nov.97,"1,541.71",-43.15,-2.72,"1,584.86","1,584.86","1,540.59","706,290,000"
13.Nov.97,"1,559.25",17.54,1.14,"1,554.79","1,559.25","1,508.41","772,650,000"
14.Nov.97,"1,583.51",24.26,1.56,"1,565.68","1,585.44","1,565.68","705,390,000"
17.Nov.97,"1,614.11",30.60,1.93,"1,601.95","1,631.46","1,583.47","652,880,000"
18.Nov.97,"1,600.44",-13.67,-0.85,"1,614.67","1,616.42","1,600.20","575,210,000"
19.Nov.97,"1,601.22",0.78,0.05,"1,596.29","1,603.11","1,594.05","552,580,000"
20.Nov.97,"1,626.56",25.34,1.58,"1,607.66","1,627.48","1,607.66","687,990,000"
21.Nov.97,"1,620.75",-5.81,-0.36,"1,636.58","1,654.43","1,616.39","679,100,000"
24.Nov.97,"1,586.99",-33.76,-2.08,"1,612.94","1,620.75","1,584.56","556,720,000"
25.Nov.97,"1,589.04",2.05,0.13,"1,593.30","1,596.56","1,580.27","642,000,000"
26.Nov.97,"1,594.50",5.46,0.34,"1,593.57","1,597.79","1,591.55","517,560,000"
28.Nov.97,"1,600.55",6.05,0.38,"1,595.84","1,604.24","1,595.84","209,930,000"
1.Dec.97,"1,630.72",30.17,1.88,"1,608.56","1,630.72","1,608.56","610,620,000"
2.Dec.97,"1,606.37",-24.35,-1.49,"1,625.48","1,625.48","1,605.12","650,360,000"
3.Dec.97,"1,615.13",8.76,0.55,"1,603.99","1,615.14","1,591.05","717,890,000"
4.Dec.97,"1,613.42",-1.71,-0.11,"1,621.72","1,624.64","1,610.68","695,120,000"
